
2024/04/05 (21:10:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/05 (21:10:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/05 (21:10:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/05 (21:10:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/08 (13:44:59) | ===> btop++ v.1.3.2
2024/04/08 (13:44:59) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/08 (13:44:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/08 (13:44:59) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/08 (13:44:59) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/08 (13:44:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/08 (14:56:08) | ===> btop++ v.1.3.2
2024/04/08 (14:56:08) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/08 (14:56:08) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/08 (14:56:08) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/08 (14:56:08) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/08 (14:56:08) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/08 (14:56:32) | ===> btop++ v.1.3.2
2024/04/08 (14:56:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/08 (14:56:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/08 (14:56:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/08 (14:56:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/08 (14:56:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/09 (14:29:37) | ===> btop++ v.1.3.2
2024/04/09 (14:29:37) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/09 (14:29:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/09 (14:29:37) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/09 (14:29:37) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/09 (14:29:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/09 (14:30:16) | ===> btop++ v.1.3.2
2024/04/09 (14:30:16) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/09 (14:30:16) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/09 (14:30:16) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/09 (14:30:16) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/09 (14:30:16) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/09 (14:30:58) | ===> btop++ v.1.3.2
2024/04/09 (14:30:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/09 (14:30:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/09 (14:30:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/09 (14:30:58) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/09 (14:30:58) | WARNING: ROCm SMI: Failed to get PCIe throughput
